group,indicator,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
pi_nagaraj,CPU 2013 Usage,0,0.0177778,0.0286111,0.0286111,0.03805554,0.03805554,0.03805554,0.038333318,0.038333318,59.58393332,191.1279333,191.1279333,191.1279333,254.3221333,254.3221333,735.0451333,1141.351133,1352.735133,1352.735133,1353.650133,1356.257633,1356.259578,1356.259578,1356.259578,1469.808578,1678.849578,1678.849578,1678.849578,1678.849578,1678.849578,1753.674278,1753.674278,1763.587608,1763.587608
pi_oates,CPU 2013 Usage,0,0,0.000833333,0.000833333,0.000833333,0.114722333,8.636942333,34.06864233,43.10197233,43.10197233,43.10197233,43.10197233,47.19614233,7352.286142,7352.843086,7356.843916,17709.94392,86663.84392,129859.6439,205815.8439,227465.5439,227470.0284,232660.6584,232721.6073,232721.6073,232721.6073,236058.2673,242595.8673,245284.3973,270331.0973,272627.2173,272627.2173,272627.2173,272627.2173
pi_oates,CPU 2018 Usage,0,0,0,0,0,0.00277778,0.00277778,0.59638878,8.67832878,14.06832878,47.31912878,47.31912878,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,47.37023988,2948.20024,3999.88024,77644.48024,77644.48024,77644.48024,77644.48024,77644.48024
pi_olano,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,803.41,16452.31,16452.31,16452.31,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821,16564.821
pi_parsotat,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555556,0.000555556,0.000555556
pi_psanjay,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00472,1.00472,20.65472,20.65472,20.65472,20.65472,20.65472,20.65472,20.65472,20.65472,20.65472
pi_psanjay,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347222,0.0347222,0.0347222,0.0347222,0.0347222,0.0347222,0.0347222,0.0347222,0.0347222
pi_pwzhai,CPU 2013 Usage,0,0,0,273.805,3298.915,6232.585,34264.285,63183.185,103940.285,120701.685,136428.785,137894.205,137894.205,138012.396,138012.396,138012.396,138100.8785,138100.8785,142783.5085,146527.9585,148719.8485,150322.6885,150957.1625,150957.1625,156782.6225,157161.4575,164526.4075,171577.5075,171580.2353,171582.0014,171582.0014,171582.0014,171582.3831,171582.3831
pi_pwzhai,CPU 2018 Usage,0,0,0,0,0,0,14162.7,26038.1,29097.22,54637.92,59281.47,59554.45,59554.53222,59853.77222,59854.05222,59854.05222,64340.21222,64340.21222,64340.21222,64340.21222,64340.21222,64340.21222,64340.21222,64340.21222,64340.21222,64344.36278,64344.36278,64344.36278,64344.36278,74265.36278,79991.92278,84144.85278,86596.26278,86800.03678
pi_roma,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605.76,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57,2656.57
pi_roma,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778,0.000277778
pi_rtyler,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881.911,881.911,2992.101,19038.701,19038.701,19038.701,19038.701,19051.5721,22891.6121,22891.6121,22891.6121,22891.6121
pi_rtyler,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9489,50.9489,50.9489,50.9489,50.9489,50.9489,50.9489,50.9489,50.9489,50.9489,50.9489,50.9489
pi_sguimond,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,4.00556,4.00556,4.00556,4.00556,4.00556,4.08556,8.08973,8.08973,8.08973,8.08973,8.08973,8.08973,8.08973,8.08973,8.08973,8.08973,8.08973,8.08973,8.640841,8.640841,8.640841,8.640841,8.640841,8.640841
pi_sguimond,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222,2.22222
pi_simsek,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1181,68.1181,68.1181,68.1181,68.1181,68.1181,68.1181,68.1181,68.1181,68.1181,69.15477,69.15477,69.15477,69.15477,69.15477,69.15477,69.15477
pi_squire,CPU 2013 Usage,0,0,64.0742,64.0742,64.0742,64.0742,64.0742,64.0742,64.0742,64.0742,64.0742,64.0742,64.0742,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778,64.1319778
pi_squire,CPU 2018 Usage,0,0,0.000833333,0.012222233,0.012222233,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333,0.023333333
pi_strow,CPU 2018 Usage,0,440.611,14520.811,15121.623,15479.698,32211.798,44198.398,61741.798,65425.188,66919.788,77984.188,79453.908,88564.908,108636.308,124505.108,127198.408,127966.911,136207.861,143183.091,155436.791,160497.401,162050.851,174211.251,176829.591,182263.011,184014.651,186653.921,202717.321,226946.621,231235.531,254598.631,271609.431,290771.731,298454.511
pi_strow,CPU 2013 Usage,0,72.1458,1561.5658,2437.6848,5091.6948,13411.8448,29104.4448,37818.4148,39823.7748,45679.8048,46709.4848,47985.8448,59824.0448,61370.6948,61673.0158,65443.5758,65757.5018,66174.5828,66175.03863,66191.05193,74125.74193,83413.58193,98665.28193,111021.9819,130379.0819,135613.0519,135632.8325,138316.3025,138546.8935,138628.9852,138847.2482,141016.1182,160682.6182,172733.5182
pi_summers,CPU 2013 Usage,0,0,0,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889,0.00138889
pi_tinoosh,CPU 2018 Usage,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
pi_tjo,CPU 2013 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7003,54.4675,1483.4675,2073.1585,2073.1585,2073.1585,2073.1585,2412.5835,3310.1865,12280.9865,15480.1265,24240.3265
pi_tjo,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.874722,9.889442,9.889442,9.9233309,9.9233309,9.9233309,9.9233309,9.9233309,9.956942,10.680553,10.680553,10.680553,10.7283308
